title,year,rating
The Shawshank Redemption,1994,9.2
The Godfather,1972,9.2
The Dark Knight,2008,9.0
The Godfather: Part II,1974,9.0
12 Angry Men,1957,8.9
Schindler's List,1993,8.9
The Lord of the Rings: The Return of the King,2003,8.9
Pulp Fiction,1994,8.9
Everything Everywhere All at Once,2022,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
"The Good, the Bad and the Ugly",1966,8.8
The Batman,2022,8.0
The Northman,2022,7.8
Doctor Strange in the Multiverse of Madness,2022,7.7
The Unbearable Weight of Massive Talent,2022,7.5
Uncharted,2022,6.4
365 Days,2020,3.3
365 Days: This Day,2022,2.5
